"group","treatment","outcome","mean1","sd1","groupSize","age","height","weight","female","student","setting1","setting2","setting3"
80,1,-0.126948422877288,1.25666666666667,0.543721742560782,3,27.6666666666667,189,85.3333333333333,0,0,0,0,1
81,1,-0.0729698711381158,0.9,0.687895340876793,3,24,172.333333333333,69.3333333333333,0.666666666666667,0.333333333333333,0,0,1
82,0,0.422773367904921,0.756666666666667,0.342101349505279,3,35.6666666666667,174.666666666667,83.6666666666667,0.666666666666667,0,0,0,1
83,1,0.332340187157677,0.285,0.176776695296637,2,18,178,78,1,0,0,0,1
84,0,0.136302307833827,0.645,0.17710637105047,4,24,168.75,57.25,1,0,0,0,1
87,0,0.0353553390593275,0.725,0.601040764008565,2,20.5,179,80.5,0.5,0,0,0,1
88,1,-0.0707106781186546,1.22,0.240416305603426,2,22,188,87,0,0,0,0,1
90,0,0.445630829152713,1.044,0.198317926572461,5,26.8,175.6,76.8,0.4,0,0,0,1
91,1,0.0565685424949237,1.07,0.15556349186104,2,47,186,81,0,0,0,0,1
92,1,-0.0565685424949238,0.78,0.410121933088198,2,30,180,82.5,0,0,0,0,1
93,1,0.225120131179448,0.6875,0.426800109340817,4,26.5,171.75,73.25,0.5,0,0,0,1
94,1,-0.014142135623731,1.55,0.0565685424949239,2,34.5,177.5,97.5,0,0,0,0,1
96,1,0.282465346731958,0.16,0.0264575131106459,3,34,175.333333333333,67.3333333333333,0.666666666666667,0,0,0,0
97,1,-0.0379853414959812,0.332,0.611326426714893,5,27.8,177.2,68.8,0.4,0,0,0,0
99,1,-0.155820855364067,1.32666666666667,0.95584168842614,3,19,177.666666666667,73.3333333333333,0.333333333333333,0,0,0,0
102,1,0.205182845286832,0,0,3,20.6666666666667,171.666666666667,80,1,0,0,0,0
104,1,0.274651219488503,0.626666666666667,0.17925772879665,3,23,180.333333333333,75,0,0.333333333333333,0,0,0
105,1,-0.00407864852051648,0.486666666666667,0.480138868800822,3,19.3333333333333,168.333333333333,58.3333333333333,1,0.333333333333333,0,0,0
106,1,0.128912895872742,0.366666666666667,0.186100331362771,3,25.3333333333333,171,78.8666666666667,0.666666666666667,0,0,0,0
108,0,-0.37476659402887,0.82,0.424264068711929,2,22,158.5,75,1,1,0,0,0
110,1,-0.0161047644505035,0.256666666666667,0.231588715902423,3,20.3333333333333,191,91.3333333333333,0.333333333333333,0.333333333333333,0,0,0
111,1,0.0424264068711928,0.505,0.21920310216783,2,19,194,107.5,0,0,0,0,0
112,0,-0.0282842712474619,0.615,0.360624458405139,2,18.5,183,71.5,0.5,0,0,0,0
114,0,0.0333170182937539,0.17,0.197821468332771,4,24,177,80.5,0.5,0,0,0,0
116,0,0.141421356237309,0.5,0.0424264068711929,2,20.5,192,100,0,0.5,0,0,0
118,0,-0.0565685424949238,0.045,0.0636396103067893,2,48,183,99.5,0.5,0,0,0,0
121,1,0.106066017177982,0.695,0.0636396103067893,2,18.5,192.5,79.5,0,0,0,0,0
122,0,-0.00707106781186556,0.965,0.120208152801713,2,32,180.5,71,0.5,0,0,0,0
123,0,0.0636396103067893,0.235,0.332340187157677,2,23.5,175.5,77.5,1,0,0,0,0
126,0,0.247487373415292,1.1,0,2,25.5,182.5,82.5,0.5,0,0,0,0
131,1,0.0156731471047535,0.4375,0.228235988982164,4,25.25,179.5,78.5,0.5,0.25,0,0,0
132,0,-0.014142135623731,0.445,0.0494974746830583,2,19,185,100,0,0,0,0,0
133,0,0.233345237791561,0.645,0.176776695296637,2,19,180.5,70,0.5,0,0,0,0
134,1,0.0848528137423857,0.32,0.212132034355964,2,41.5,180.5,118.5,0.5,0,0,0,0
135,1,0.226398709849481,0.406666666666667,0.200333056017556,3,19.6666666666667,177.333333333333,85,0.333333333333333,0,0,0,0
138,1,-0.0707106781186547,0.63,0.127279220613579,2,23.5,167,83,0.5,0,0,0,0
140,1,0.0680939575686478,0.746666666666667,0.187705443004014,3,20,178.666666666667,70,0.333333333333333,0,0,0,0
