observation,target,output
52,0.17770050466060638,-0.4651101529598236
53,0.07555390894412994,-0.21387305855751038
54,0.7395073771476746,1.1765565872192383
55,0.3990183174610138,0.6751183867454529
56,0.45009180903434753,0.6869512796401978
57,-1.3544998168945312,-0.8384925723075867
58,1.182142972946167,1.2981352806091309
59,0.518189549446106,1.3372697830200195
60,-0.04361721873283386,0.41622352600097656
61,0.7395073771476746,0.3395540416240692
62,0.34794503450393677,0.18359874188899994
63,-0.7075707912445068,-0.41453632712364197
64,-1.269377589225769,-0.9605122804641724
65,-1.5928421020507812,-0.9193155169487
66,-1.2523530721664429,-1.1360059976577759
67,-0.7245951890945435,-0.5614678263664246
68,0.7395073771476746,0.42978140711784363
69,1.7779988050460815,1.9153492450714111
70,1.5566809177398682,0.11869978904724121
71,-0.12873947620391846,-0.8566252589225769
72,0.26282286643981934,0.044486064463853836
73,-0.12873947620391846,-0.7281187176704407
74,0.3819938898086548,0.5879809260368347
75,-1.5928421020507812,-1.2628871202468872
76,0.24579843878746033,-0.6803628206253052
77,-0.07766618579626083,-1.0042904615402222
78,-1.388548731803894,-1.1611461639404297
79,-0.33303287625312805,0.026685869321227074
80,-1.031035304069519,-0.640964686870575
81,-0.48625296354293823,-0.15303078293800354
82,-1.2012797594070435,-0.39685317873954773
83,-1.5928421020507812,-0.8448050618171692
84,-0.45220398902893066,0.13380804657936096
85,-0.23088617622852325,-0.5011734366416931
86,-1.5928421020507812,-0.7617535591125488
87,-0.8437663316726685,-0.5795969367027283
88,0.1947249323129654,0.5673591494560242
89,-0.19683730602264404,0.5319563746452332
90,2.8164899349212646,0.9904503226280212
91,0.8586785793304443,1.489424228668213
92,0.9267763495445251,0.9833036661148071
93,1.1310697793960571,1.1812304258346558
94,-1.0480597019195557,-0.10217668861150742
95,-0.009568353183567524,0.3851662576198578
96,-0.14576391875743866,0.6102856397628784
97,-0.7245951890945435,-0.04061273857951164
98,0.824629545211792,0.6970582008361816
99,0.26282286643981934,0.013717670924961567
100,-0.12873947620391846,0.7558769583702087
101,0.6543852090835571,0.5983003377914429
102,0.007456078659743071,0.001527575426734984
103,0.552238404750824,-0.1268269270658493
104,1.5056076049804688,0.11415328830480576
105,1.6418031454086304,0.5246506929397583
106,0.10960277169942856,0.14730791747570038
107,1.5566809177398682,1.5296989679336548
108,0.12662720680236816,0.7868903279304504
109,0.22877399623394012,0.7335975170135498
110,0.007456078659743071,-0.37033921480178833
111,1.760974407196045,1.4121419191360474
112,-1.5928421020507812,-1.2998378276824951
113,-1.5928421020507812,-1.2621630430221558
114,-1.5928421020507812,-1.3277162313461304
115,-1.4396220445632935,-1.453784465789795
116,-0.8267419338226318,-0.8917734026908875
117,-0.8948396444320679,-0.5977668166160583
118,-1.5928421020507812,-1.4136700630187988
119,-1.5928421020507812,-1.291493535041809
120,-1.5928421020507812,-1.4876611232757568
121,-1.5928421020507812,-1.2055922746658325
122,-0.026592785492539406,0.26277515292167664
123,-1.2864019870758057,-0.7075558304786682
124,1.352387547492981,0.2522929608821869
125,0.24579843878746033,0.13780318200588226
126,0.46711626648902893,-0.805804431438446
127,0.04150494188070297,0.9668132066726685
128,1.1480941772460938,0.6862065196037292
129,-1.3544998168945312,-1.3832696676254272
130,-1.4225975275039673,-1.593284249305725
131,0.26282286643981934,0.37922462821006775
132,-0.7756685614585876,0.4405190944671631
133,-1.1161574125289917,-0.5846564769744873
134,0.4330673813819885,0.384603351354599
135,0.8757030367851257,0.38689881563186646
136,0.27984729409217834,0.36694857478141785
137,-0.40113070607185364,-0.6906645894050598
138,0.007456078659743071,-0.33000636100769043
139,-1.5928421020507812,-1.1076507568359375
140,1.182142972946167,0.32740700244903564
141,-0.5203018188476562,-0.2147381603717804
142,-0.7245951890945435,-0.2386689931154251
143,1.3694119453430176,1.6573495864868164
144,-0.28195956349372864,0.33523330092430115
145,-0.9288886189460754,-1.1071021556854248
146,0.9608252048492432,1.2399791479110718
147,0.27984729409217834,0.7648462653160095
148,0.024480510503053665,0.5996518135070801
149,0.34794503450393677,0.0708625540137291
150,0.7735562324523926,-1.1776132583618164
151,-1.5928421020507812,-0.8067202568054199
152,1.760974407196045,0.702643871307373
153,-1.031035304069519,-1.2868860960006714
154,-1.5928421020507812,-1.1498289108276367
155,0.6543852090835571,-1.4081603288650513
156,1.2332162857055664,0.12429890781641006
157,1.1651185750961304,-0.24580346047878265
158,-1.0140109062194824,-0.12990030646324158
159,-0.6394729614257812,0.9839124083518982
160,-1.0480597019195557,-0.6928814649581909
